,Date,User,Nickname,Tweet,URL
125,2021-12-24 09:38:46+00:00,mon_P_anda,팬더,"#몬베베가_몬베베에게_추천하는_맛집
📍합정 ‘커넥츠커피’
짱균이 같은 딥초콜릿, 걸죽하고 진하고 쌉싸름한 초콜릿 그 자체🍫 미녀쿠 뒤에 있는 자몽얼그레이, 자몽을 그대로 갈아넣은 것 같은 상큼함🍊 바나나푸딩도 최고🍌
그리고 어떻게든 6멤버를 음료와 함께 한 사진에 담고자 노력한 결과.jpg https://t.co/lTJk9dk6Sw",https://twitter.com/mon_P_anda/status/1474313593810472964
126,2021-12-23 10:25:59+00:00,x_xxem___,젬,"📍합정 아로
뇨끼 맛집이라고 해서 찾아간 식당! 단호박크림뇨끼는 크림이 부드럽구 리조또는 촉촉한 안심과 불향가득 파의 조화가 굿。。。 매장이 넓은 편은 아니라 예약하고 가는게 좋을듯해요 애견동반 가능하니 참고하시면 좋을것같아요-ˋˏ ♡ ˎˊ- 

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/LM0DS8owPh",https://twitter.com/x_xxem___/status/1473963087200124936
127,2021-12-21 11:03:16+00:00,egg1ife,🌊에라🫧,"몽슈깅이랑 데이트💕
채프지만 햄포자이를 가지고있는 대단한 여성..👍
앨범깡도 했지만 에라는 운이없어요

📍연남 틱텍톡
📍합정 미삼

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/wjeUHY9eyw",https://twitter.com/egg1ife/status/1473247694265384960
128,2021-12-05 13:12:36+00:00,mypuppyd1ary,♡ㅏ강⋆｡˚🤟🏻,"#여기맛있승민
 #몬베베가_몬베베에게_추천하는_맛집
#현이도_먹어봐

🤍 합정 신김치생삼겹살

럭드하고 위장에 기름칠하기 👍🏻
볶음밥 필수!!! https://t.co/sGROiKTeEz",https://twitter.com/mypuppyd1ary/status/1467482037347315713
129,2021-11-30 17:53:12+00:00,tal_te_ham,"🎀창균이엉덩이좋아!뿡…,🎀","#임창균_너는한끼뚝닭먹겠지 
#몬베베가_몬베베에게_추천하는_맛집

합정 NoiTre !!
가게자체가 반지하에 너무 분위기 있어서 너무 맘에드는.. 단골집이 될거같은 곳♡ 
음식도 너무너무 맛있고 종류도 엄청 다양해서 취향따라 선택하기도 정말 좋을듯합니당
그리고.. 서빙해주던 언니가 이쁨♡♡!! https://t.co/DgBVVRkaFL",https://twitter.com/tal_te_ham/status/1465740713073602562
130,2021-11-27 14:55:59+00:00,jk_0909_,뀨,"📍 합정, 띠오 데 산타바바라 

파히타플래터 맛있고 무엇보다 소스가 다양해서 제일 맘에 드는 
2명이서 또띠아 한 번 리필해서 먹으니까 딱 적당한 양이였어요 ! 
같이 간 친구 말로는 다른 메뉴들도 맛있대요 😝

#준규_메롱 
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/dO3rkibyWW",https://twitter.com/jk_0909_/status/1464608951421394953
131,2021-11-27 13:54:16+00:00,yolki_chae,솜,"합정 더캐스크
“포토맥주”…먹고오㉰
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/oZCVObhP35",https://twitter.com/yolki_chae/status/1464593420412801025
132,2021-11-22 05:35:42+00:00,Sunnyda__y,대이,"📌 합정 화연장 연화열도

한우 양대창 모듬구이 + 얼큰 순두부찌개ఇ
(육사시미+육회 서비스😍)
허버허버 순식간에 싹싹 비워먹음
진촤 맛있다..... 입에서 살살 녹음......
순찌필수!! 볶음밥필수!! ♥️♥️

#짠짠_대박이지
#몬베베가_몬베베에게_추천하는_맛집
#김선우_맛있는걸내가놔둘리가
#ㄷㅂㅇㅈ https://t.co/YJsXDrS19I",https://twitter.com/Sunnyda__y/status/1462656011081113605
133,2021-11-17 15:15:44+00:00,jyaeddo,쟤또,"합정 김씨육면

감태 처음 먹어보는데 너무 맛있엇음..
다음에 가면 8알 먹고싶을 정도로
너무 째끄매서 아쉬웠음ㅠㅠ 감태주먹밥 존맛
꼬옥 먹어야함
국수도 한입먹자마자 미친놈이네 &lt; 하는곳
김치조차 맛있음...
김치 약간 대기업맛

#ㅌㅇㅌㅇㅈ
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/pfteVyrAdo",https://twitter.com/jyaeddo/status/1460990041451233283
134,2021-11-14 12:43:10+00:00,kihyunisgod,웅앵,"#몬베베가_몬베베에게_추천하는_맛집

합정 거문양 

사장님이 친절하고 안주가 너무 맛있어요。。
서울토닉도 맛있어서 술술 들어감 🤍 
서비스 엄청 주셔서 오랜만에 기분좋게 만취 🤤

🤍 * · 。@kikidite @WOo_z2Z 。· * 🤍 https://t.co/H5vBMCu6BL",https://twitter.com/kihyunisgod/status/1459864485414334465
135,2021-11-13 11:26:31+00:00,danggeee_,댕이,"💛합정 타치카와텐💛
맛집 레이더 몬베베 해시태그로 추천받은 합정 맛집
3시쯤 도착하니까 사람두 없고 음식도 금방 나왔어요! 가라오케있는 A세트에 가라오케동 시켰는데 햄버거 한 세트 시킨 것처럼 배불렀다는••• 맛도 있는 맛집💙
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/FMLqrK1LK9",https://twitter.com/danggeee_/status/1459482805142888448
136,2021-11-06 13:16:02+00:00,whatamIM,이름은 비울 수 없습니다,"#몬베베가_몬베베에게_추천하는_맛집

합정 김씨육면

고기육수 특유의 맛도 살면서 담백한 느낌? 맛있고 푸짐한데 1인 1메뉴 시키면 면 리필 가능하다고 함!
홍돈육면 맛있게 매콤해서 끝내주는 해장을 함,,,, https://t.co/LcUQN4AcNo",https://twitter.com/whatamIM/status/1456973649710182401
137,2021-11-06 11:48:58+00:00,ii_imimim,엔쵸,"합정 별의조각
에이드가 대박 맛있음 직접 담근 과일청으로 만들고 과일 본연의 깔끔한 단맛이라 질리지 않고 흡입가능🤤 진하고 꾸덕한 치즈맛을 좋아하시면 바스크 치즈케이크 꼭 드셔보시기‼️일러스트 작가 전시가 많이 열리는 곳이라 구경하는 재미도 있어욥
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/L2uVsiTP2m",https://twitter.com/ii_imimim/status/1456951741828657157
138,2021-10-31 10:35:13+00:00,nunnuyaaa,미역 ꕤ,"#몬베베가_몬베베에게_추천하는_맛집

 •합정 더 캐스크•

서방님을 맥주에 동동 띄워보세요....
맛있는 맥주를 더 맛있게 만들어주는 마법♡
@chaebrow_ https://t.co/Gk29Wzvia9",https://twitter.com/nunnuyaaa/status/1454758853120180227
139,2021-10-02 05:01:35+00:00,taengeju,엄댕,"올이니랑 드디어 만낫두
피자먹을 땐 피자댕이져 💟
만난지 한시간도 안됐는데 벌써부터 말 우다다하는중 🤍

#몬베베가_몬베베에게_추천하는_맛집
합정 피자네버슬립스 https://t.co/FhTGl0gFlZ",https://twitter.com/taengeju/status/1444165642676961281
140,2021-09-18 13:35:26+00:00,tal_te_ham,"🎀창균이엉덩이좋아!뿡…,🎀","#임창균_너는한끼뚝닭먹겠지 
#몬베베가_몬베베에게_추천하는_맛집

홍대?합정? 미담진족
진짜짱맛.. https://t.co/eu5o2hgyT0",https://twitter.com/tal_te_ham/status/1439221530618040320
141,2021-09-12 12:30:13+00:00,0oonue,온느,"📍합정 브런치 카페 어반플랜트

여기 비건 음식은 아닌데 먹으면서
왕왕 대박 셔누 생각나는.. 😢😢
식물이 짱많아서 식목원 느낌 낭낭하고
브런치 즐기시는 분들께 짱추천해요.!
자몽청에이드 꼬옥 드셔주세요 ㅠ👍🏻

 #몬베베가_몬베베에게_추천하는_맛집 https://t.co/HK5BRudNMO",https://twitter.com/0oonue/status/1437030790043353096
142,2021-09-11 00:54:02+00:00,hipkidneverdie,🎄길티🎄,"📍합정 이목
들어가면 사장님이 메뉴 추천 해주심! 조개탕 진짜 맛있음.. 내 인생 최고의 조개탕 진짜 개맛있음 소주 안좋아하는데 추천받아서 시킨 도원결의랑 잘어울림 복숭아향 올라와서 쭉쭉 들어가니께 조심하셔요.. 국물에 파스타 해먹을 수 있는데 이게미침
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/RVNfIvNpFC",https://twitter.com/hipkidneverdie/status/1436493201657892873
143,2021-09-06 08:54:38+00:00,im_what_immm,애옹,"합정 오레노라멘 ♡
라멘이 친절하고 창균이가 귀여워요
느끼한거 좋아하시면 추천 ఇ

#몬베베가_몬베베에게_추천하는_맛집
#임창균_너는한끼뚝닭먹겠지 https://t.co/MIbrljJsDC",https://twitter.com/im_what_immm/status/1434802208378216451
144,2021-09-05 07:49:43+00:00,myforIM,나야ꪑ,"#몬베베가_몬베베에게_추천하는_맛집

합정 거문양

브레이크 있는지 모르구 막 찾아갔는데도 5분 남았다구 들어오라고 해주신 … 완전 친절하셧던 .. 💜
해물탕면이랑 에그엔헬 드세요 쫀맛 ! (๑˙ϖ˙๑ ) ♥⃛ https://t.co/CDQMINDV7N",https://twitter.com/myforIM/status/1434423485917319171
145,2021-09-04 15:17:51+00:00,go5rae_e,zzo..,"해시태그를 깜빡해가지고 😅😅

합정 백두한우곱창

모듬으로 주문하시면 막곱대 다 드셔보실 수 있으니 꼭 !!!!!!! 모듬 주문해보시길 ..🤤

#몬베베가_몬베베에게_추천하는_맛집",https://twitter.com/go5rae_e/status/1434173874464198658
146,2021-08-13 01:35:20+00:00,mErry___x,메리,"합정 해피베어데이 왕 귀여운 케이크들이 반겨줍니다... 그리고 사진 찍을 곳이 왕 많음 인생샷 건질 수 잇어요 헤헤
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/N8tDWTYks2",https://twitter.com/mErry___x/status/1425994346923315201
147,2021-06-30 06:03:52+00:00,heonit16,리쥬,#몬베베가_몬베베에게_추천하는_맛집 합정 시오 https://t.co/VrAlFxAWNO,https://twitter.com/heonit16/status/1410116857336504323
148,2021-06-28 14:37:52+00:00,go5rae_e,zzo..,"합정 오레노라멘 (본점)

미슐랭 가이드에 실린 라멘 맛집 !!

제가 먹은건 살짝 매콤한 '카라빠이탄'인데
진하고 고소한 육수 맛, 닭고기가 입에 넣자마자 녹아 사라지는 마법을 함께 즐기실 수 잇습니다 😎👍 매운 정도는 그냥 맛있다고 느끼실 정도예용 🤤

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/INlD3cB4Mh",https://twitter.com/go5rae_e/status/1409521435039596553
149,2021-06-28 07:22:09+00:00,woo0S2,라니,"✔️ 합정 또보겠지 떡볶이
✔️ 합정 카페버킨
1차로 떡볶이에 버터갈릭감자튀김
2차로 날치알볶음밥까지 먹어주는게 국룰,,
비가 와서 근처 카페 들어왔는데 스모어 쿠키 짱짱 맛있어요 찐한 초코에 폭신한 마시멜로!
#정우영_한입에_먹우영 
#우리배는_식도로만_가
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/f2NgwTOVRf",https://twitter.com/woo0S2/status/1409411781835984896
150,2021-06-28 05:37:15+00:00,mh___1103_,밍둥,"여기는 합정 홍곱창ෆ 
데리야끼 저거 꼭 먹어봐 진짜 맛있음!!
#몬베베가_몬베베에게_추천하는_맛집 
#민혁_너는이미북마크해놨겠지 https://t.co/2uXbRUdQrY",https://twitter.com/mh___1103_/status/1409385383448616960
151,2021-06-28 05:15:41+00:00,collectdaeng,앞니 마티스,"합정 타치가와텐
텐동 존맛 ... 🍱
근데 불닭 먹고 싶어요 😍

@dogloveswhale 
@summta_ver2

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/2B25srZKIQ",https://twitter.com/collectdaeng/status/1409379959311769601
152,2021-06-27 14:07:29+00:00,93kidsneverdie,딱복,"합정 피자네버슬립스 🍕

웨이팅 많음 시끄러움 그런데 맛있음
두 명이면 하프앤하프 레귤러 사이즈 추천
생크림코젤 맛있어 보이더라구요
글고 특이한 점  .ᐟ.ᐟ 피클 대신 김치를 줌 。。
나름 어울리고 맛있음

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/gXAd8mP6Rb",https://twitter.com/93kidsneverdie/status/1409151399275814912
153,2021-06-27 05:52:23+00:00,yolkiteu,곰트💍,"#몬베베가_몬베베에게_추천하는_맛집
합정 1993버거 존맛 미췬 https://t.co/kvE1N8tBkK",https://twitter.com/yolkiteu/status/1409026803792891910
154,2021-06-25 11:14:47+00:00,NUGOMM,누곰,"홍대 합정 라뚜셩트

예쁜거 먹자고 왔는데 맛은 그 이상인 디저트 맛집... 맛도 되게 진하고 바삭 쫀득한 식감이 좋은 디저트 🍰
공간은 좁지만 내부 분위기도 넘 좋아요

#몬베베가_몬베베에게_추천하는_맛집 https://t.co/ACGgLa9Fai",https://twitter.com/NUGOMM/status/1408383165752745988
155,2021-06-24 12:30:58+00:00,vwhkzd,튜,"#몬베베가_몬베베에게_추천하는_맛집
#존나이게맛집잊
홍대 합정 곱창 막창 집을 찾는다면 여러분 
무조건 홍곱창 가세요 일단 데리야끼막창은 무조건 시켜줘야함 막창 곱창 하나씩 시키고 볶음밥까지 조져주면 뒤지게 배불러요 그리고 여기 아이셔소주 팔아요 저 꼴았어요 https://t.co/ayxHkf1Ocv",https://twitter.com/vwhkzd/status/1408039948020682753
156,2021-06-20 05:27:42+00:00,kihyun0819,겨울달기현,"#몬베베가_몬베베에게_추천하는_맛집

✏️ 카덴 우동 (합정)
🤍 우 : 토리텐(닭) 붓카케 우동
      왼 : 치쿠타마텐(어묵, 계란) 우동 

대기 1시간🥲 회전율은 빠른편..
점심시간 끝날때쯤 갔는데도 앞에 대기 20팀이나 있었는데 기다리고 먹을만큼 맛있었다 🥺🥺❤️ https://t.co/y4Jyu9TwwC",https://twitter.com/kihyun0819/status/1406483876982116354
157,2021-06-19 09:12:47+00:00,Goyang0126,엇뚜,"#몬베베가_몬베베에게_추천하는_맛집 
합정 홍곱창
데리야끼막창 안먹을거면 곱창 먹지 마.
진짜 개 미친아이 존나 혼쭐을 내줌 https://t.co/G4rfa5FUxK",https://twitter.com/Goyang0126/status/1406178134785859588
158,2021-06-13 14:03:22+00:00,kikiandnov,김노브🍀,"#몬베베가_몬베베에게_추천하는_맛집
상수 합정 그 어딘가 사이에 있는 하카다분코.. 꼭 가주세요🥺 원래 저 차돌단면이 저녁 10시 이후에만 주문 가능한 메뉴였는데 코시국땜에 저녁 6시 이후 주문 가능한 걸로 바꼈는데요!!! 진짜..진짜 맛있습니다 양도 많고.. 행복한 한끼 할 수 있어요 노브믿어봐 https://t.co/iGO3oOuPVm",https://twitter.com/kikiandnov/status/1404076935802593284
159,2021-05-15 14:02:34+00:00,ScentLike_Laven,그냥 다 죠아 ˙ᵕ˙,"은꿍이랑 3차로 간 합정 바우리
분위기도 좋고 피자랑 맥주가 맛있었던🍕🍻
조금 어두운 곳에 앉아서 플래쉬를 터뜨릴 수 밖에 없었다...🥲
점심부터 저녁까지 하루종일 얘기해도 쉴틈없이 티키타카 재밌는 친구랑 함께여서 더없이 행복했던 하루💜💜💜
#몬베베가_몬베베에게_추천하는_맛집 https://t.co/PdjLDGq3co",https://twitter.com/ScentLike_Laven/status/1393567487841558532
160,2021-05-14 14:03:09+00:00,RUhateme_,☾𝗴𝗴𝕦𝕞☽˚｡⋆⁺‧͙,"#몬베베가_몬베베에게_추천하는_맛집
홍대 도적
합정과 성수 사이에 있지만 삼겹살 느끼해서 잘 못 먹는 저에게 겉바속촉으로 너무 잘 먹었던 돼지고기집❕ 서비스로 나온 된장찌개엔 밥이 필수고 칼삼겹에는 소주가 선택인🔥 진짜 역대급 삼겹살집‼️ https://t.co/ygBiWdJC8l",https://twitter.com/RUhateme_/status/1393205246503972868
